,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3508455764,1,5,6,-37.801155,144.9186671,-37.773845,144.9836895,8134.0,2018-01-04,19:32:21,1871.640000000001,20:03:32,19.46
ID1849515263,0,9,6,-38.1109156,144.65417250000002,-37.7874325,144.9803767,47033.0,2018-04-04,22:02:07,11355.660000000005,1:11:22,22.64
ID5400045312,2,8,5,-37.8158343,145.04645,-37.8024197,144.934978,10567.0,2018-06-18,11:19:04,2965.139999999999,12:08:29,262.4
ID1672983032,0,3,8,-37.8111455,144.97851619999997,-37.8158343,145.04645,6193.0,2018-02-24,11:31:23,1822.32,12:01:45,8.45
ID1503368443,0,2,9,-37.815095,144.9412011,-38.1109156,144.65417250000002,42220.0,2018-02-05,12:40:11,10119.419999999998,15:28:50,17.23
ID5119479640,2,7,6,-37.8618349,144.90571599999998,-37.7738026,144.98364660000001,16033.0,2018-02-23,15:05:20,5320.6799999999985,16:34:00,468.44
ID1164242843,0,2,3,-37.8148243,144.9376494,-37.813183,144.97391140000002,3812.0,2018-07-11,15:01:32,957.4800000000004,15:17:29,9.27
ID1511092255,0,6,5,-37.773845,144.9836895,-37.8091162,144.9319332,7455.0,2018-04-10,06:47:44,1618.319999999999,7:14:42,2.33
ID1151369117,0,1,9,-37.8208542,144.95492130000002,-38.1109156,144.65417250000002,42648.0,2018-05-06,03:47:58,10241.52,6:38:39,25.49
ID3778629567,1,5,4,-37.8164324,144.9284395,-37.805456400000004,144.9971616,7520.0,2018-05-20,08:52:22,1953.9600000000007,9:24:55,18.74
ID3139317828,1,7,3,-37.8618349,144.90571599999998,-37.8202297,144.9894253,9581.0,2018-07-06,17:20:48,3097.8,18:12:25,23.28
ID1654542752,0,4,7,-37.804713899999996,144.9933802,-37.8618349,144.90571599999998,10955.0,2018-02-27,09:19:21,3585.9600000000005,10:19:06,5.46
ID5201216595,2,7,5,-37.8618349,144.90571599999998,-37.799680200000005,144.9373507,11684.0,2018-02-19,02:46:11,3738.059999999998,3:48:29,343.83
ID3859066635,1,4,2,-37.8107533,144.9975014,-37.814330600000005,144.93883830000001,5672.0,2018-05-13,05:50:26,1454.8799999999994,6:14:40,23.6
ID1519783930,0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-07-13,12:12:56,13204.979999999996,15:53:00,19.97
ID1384980852,0,5,8,-37.8060886,144.9288979,-37.8158343,145.04645,10687.0,2018-06-11,13:33:06,3011.46,14:23:17,10.38
ID1441467800,0,1,6,-37.817749600000006,144.97469719999998,-37.7907967,144.985865,3776.0,2018-06-28,12:37:00,1081.0199999999998,12:55:01,7.98
ID1609251587,0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-06-21,06:49:59,13204.979999999996,10:30:03,14.96
ID5227616436,2,3,9,-37.8170929,144.9888177,-38.1109156,144.65417250000002,45770.0,2018-04-04,06:02:59,11065.08,9:07:24,945.63
ID5740784797,2,9,1,-38.1109156,144.65417250000002,-37.800880799999995,144.9491965,43818.0,2018-05-07,13:37:10,10536.239999999996,16:32:46,910.06
ID5386692325,2,3,2,-37.8155701,144.9740446,-37.8166164,144.94918,2561.0,2018-04-10,18:10:29,629.1,18:20:58,73.27
ID1463440465,0,2,8,-37.826291299999994,144.930619,-37.8158343,145.04645,12156.0,2018-03-05,02:12:43,3361.38,3:08:44,15.03
ID5690359549,2,6,2,-37.7908183,144.9857929,-37.8123899,144.93693290000002,6315.0,2018-04-15,15:44:24,1622.9999999999993,16:11:27,163.63
ID3587777289,1,3,9,-37.8188878,144.98179309999998,-38.1109156,144.65417250000002,45113.0,2018-01-08,01:56:47,10849.259999999998,4:57:36,65.16
